timeLog,thermoLog
0,[7.99894264]
50,[10.15898191]
100,[6.83584457]
150,[14.47906046]
200,[10.98976625]
250,[9.99282504]
300,[10.49129565]
350,[9.16204071]
400,[10.32513878]
450,[9.49435444]
500,[9.82666818]
550,[7.50047204]
600,[13.48211926]
650,[9.82666818]
700,[9.32819758]
750,[7.6666289]
800,[7.50047204]
850,[7.50047204]
900,[9.32819758]
950,[9.82666818]
1000,[9.66051131]
1050,[8.16509951]
1100,[10.15898191]
1150,[11.15592311]
1200,[10.49129565]
1250,[7.1681583]
1300,[13.48211926]
1350,[9.66051131]
1400,[10.65745251]
1450,[10.15898191]
1500,[9.82666818]
1550,[9.49435444]
1600,[9.82666818]
1650,[10.15898191]
1700,[9.32819758]
1750,[15.64215853]
1800,[9.66051131]
1850,[9.16204071]
1900,[8.66357011]
1950,[6.50353083]
2000,[12.81749179]
2050,[9.49435444]
2100,[9.32819758]
2150,[9.66051131]
2200,[5.50658963]
2250,[9.99282504]
2300,[9.49435444]
2350,[9.16204071]
2400,[7.00200143]
2450,[13.48211926]
2500,[9.66051131]
2550,[9.99282504]
2600,[9.16204071]
2650,[7.50047204]
2700,[10.98976625]
2750,[9.49435444]
2800,[9.82666818]
2850,[8.99588384]
2900,[8.33125637]
2950,[9.66051131]
3000,[9.82666818]
3050,[9.82666818]
3100,[7.50047204]
3150,[12.48517805]
3200,[9.66051131]
3250,[9.16204071]
3300,[8.49741324]
3350,[4.50964843]
3400,[9.66051131]
3450,[10.15898191]
3500,[9.16204071]
3550,[10.82360938]
3600,[4.17733469]
3650,[10.49129565]
3700,[9.66051131]
3750,[9.66051131]
3800,[5.00811903]
3850,[13.64827612]
3900,[10.15898191]
3950,[10.49129565]
4000,[9.32819758]
4050,[5.1742759]
4100,[8.82972697]
4150,[10.15898191]
4200,[8.33125637]
4250,[8.66357011]
4300,[15.97447226]
4350,[9.49435444]
4400,[9.16204071]
4450,[8.82972697]
4500,[5.50658963]
4550,[9.16204071]
4600,[9.32819758]
4650,[10.82360938]
4700,[10.15898191]
4750,[7.1681583]
4800,[9.16204071]
4850,[10.15898191]
4900,[8.33125637]
4950,[6.1712171]
5000,[12.81749179]
5050,[9.99282504]
5100,[9.32819758]
5150,[9.99282504]
5200,[8.16509951]
5250,[9.99282504]
5300,[9.16204071]
5350,[10.15898191]
5400,[11.15592311]
5450,[14.47906046]
5500,[10.49129565]
5550,[9.49435444]
5600,[8.49741324]
5650,[8.82972697]
5700,[9.66051131]
5750,[10.15898191]
5800,[9.32819758]
5850,[11.32207998]
5900,[6.1712171]
5950,[9.49435444]
6000,[9.49435444]
6050,[10.82360938]
6100,[8.82972697]
6150,[9.99282504]
6200,[9.66051131]
6250,[8.66357011]
6300,[9.16204071]
6350,[4.84196216]
6400,[8.33125637]
6450,[9.66051131]
6500,[10.65745251]
6550,[12.31902119]
6600,[5.1742759]
6650,[8.99588384]
6700,[9.66051131]
6750,[9.16204071]
6800,[11.48823685]
6850,[9.49435444]
6900,[8.82972697]
6950,[9.32819758]
7000,[8.82972697]
7050,[12.81749179]
7100,[9.16204071]
7150,[8.82972697]
7200,[10.32513878]
7250,[14.47906046]
7300,[4.67580529]
7350,[8.82972697]
7400,[9.82666818]
7450,[10.15898191]
7500,[13.31596239]
7550,[10.82360938]
7600,[10.15898191]
7650,[10.15898191]
7700,[8.82972697]
7750,[5.6727465]
7800,[8.99588384]
7850,[10.15898191]
7900,[9.82666818]
7950,[13.48211926]
8000,[6.50353083]
8050,[10.98976625]
8100,[9.49435444]
8150,[8.49741324]
8200,[14.14674672]
8250,[8.66357011]
8300,[9.66051131]
8350,[10.15898191]
8400,[8.82972697]
8450,[5.83890336]
8500,[8.99588384]
8550,[9.16204071]
8600,[10.82360938]
8650,[13.81443299]
8700,[10.82360938]
8750,[9.32819758]
8800,[9.66051131]
8850,[8.49741324]
8900,[17.13757033]
8950,[9.66051131]
9000,[9.82666818]
9050,[9.49435444]
9100,[7.99894264]
9150,[7.00200143]
9200,[10.49129565]
9250,[10.15898191]
9300,[9.49435444]
9350,[11.48823685]
9400,[9.82666818]
9450,[8.99588384]
9500,[9.49435444]
9550,[7.6666289]
9600,[13.98058986]
9650,[10.82360938]
9700,[10.15898191]
9750,[10.15898191]
9800,[12.98364865]
9850,[9.49435444]
9900,[10.15898191]
9950,[9.49435444]
10000,[8.99588384]
10050,[14.64521733]
10100,[8.66357011]
10150,[8.82972697]
10200,[8.82972697]
10250,[7.1681583]
10300,[6.1712171]
10350,[10.65745251]
10400,[9.16204071]
10450,[10.82360938]
10500,[12.98364865]
10550,[8.82972697]
10600,[9.99282504]
10650,[9.32819758]
10700,[6.50353083]
10750,[14.14674672]
10800,[8.82972697]
10850,[10.32513878]
10900,[9.82666818]
10950,[5.1742759]
11000,[9.49435444]
11050,[10.15898191]
11100,[10.98976625]
11150,[10.49129565]
11200,[13.64827612]
11250,[9.82666818]
11300,[9.49435444]
