timeLog,thermoLog
0,[9.16204071]
49,[15.8083154]
99,[17.63604094]
149,[13.31596239]
199,[14.14674672]
249,[14.64521733]
299,[14.81137419]
349,[13.14980552]
399,[14.14674672]
449,[14.81137419]
499,[13.31596239]
549,[9.16204071]
599,[7.6666289]
649,[13.48211926]
699,[13.81443299]
749,[15.47600166]
799,[15.8083154]
849,[12.98364865]
899,[12.31902119]
949,[13.14980552]
999,[10.15898191]
1049,[7.1681583]
1099,[12.15286432]
1149,[11.48823685]
1199,[12.31902119]
1249,[8.82972697]
1299,[7.6666289]
1349,[12.81749179]
1399,[13.64827612]
1449,[12.81749179]
1499,[10.82360938]
1549,[9.66051131]
1599,[12.65133492]
1649,[12.48517805]
1699,[11.65439372]
1749,[9.49435444]
1799,[12.81749179]
1849,[14.31290359]
1899,[13.81443299]
1949,[14.47906046]
1999,[18.3006684]
2049,[13.81443299]
2099,[12.98364865]
2149,[14.81137419]
2199,[17.46988407]
2249,[19.62992334]
2299,[14.64521733]
2349,[13.81443299]
2399,[14.14674672]
2449,[16.8052566]
2499,[15.47600166]
2549,[13.81443299]
2599,[12.65133492]
2649,[15.47600166]
2699,[16.47294286]
2749,[13.48211926]
2799,[13.31596239]
2849,[12.81749179]
2899,[13.64827612]
2949,[19.62992334]
2999,[14.14674672]
3049,[12.48517805]
3099,[14.47906046]
3149,[11.65439372]
3199,[12.81749179]
3249,[12.81749179]
3299,[11.48823685]
3349,[13.64827612]
3399,[10.82360938]
3449,[6.33737397]
3499,[13.31596239]
3549,[12.48517805]
3599,[11.98670745]
3649,[11.82055058]
3699,[13.48211926]
3749,[12.48517805]
3799,[12.81749179]
3849,[9.82666818]
3899,[9.49435444]
3949,[13.31596239]
3999,[12.15286432]
4049,[12.81749179]
4099,[8.16509951]
4149,[6.50353083]
4199,[12.98364865]
4249,[12.31902119]
4299,[12.48517805]
4349,[15.14368793]
4399,[14.31290359]
4449,[13.31596239]
4499,[12.31902119]
4549,[8.99588384]
4599,[7.83278577]
4649,[13.31596239]
4699,[12.81749179]
4749,[11.65439372]
4799,[9.49435444]
4849,[6.6696877]
4899,[12.15286432]
4949,[13.14980552]
4999,[13.48211926]
5049,[16.306786]
5099,[16.47294286]
5149,[13.31596239]
5199,[12.81749179]
5249,[13.48211926]
5299,[11.48823685]
5349,[13.64827612]
5399,[13.81443299]
5449,[13.81443299]
5499,[16.306786]
5549,[12.31902119]
5599,[12.31902119]
5649,[12.81749179]
5699,[14.81137419]
5749,[17.13757033]
5799,[17.63604094]
5849,[12.81749179]
5899,[14.14674672]
5949,[13.81443299]
5999,[12.81749179]
6049,[16.306786]
6099,[13.14980552]
6149,[12.81749179]
6199,[13.98058986]
6249,[10.15898191]
6299,[12.98364865]
6349,[12.98364865]
6399,[12.98364865]
6449,[16.14062913]
6499,[13.98058986]
