timeLog,thermoLog
0,[13.48211926]
49,[13.48211926]
99,[12.31902119]
149,[5.6727465]
199,[10.82360938]
249,[12.31902119]
299,[12.15286432]
349,[11.98670745]
399,[12.81749179]
449,[18.3006684]
499,[13.14980552]
549,[11.82055058]
599,[9.16204071]
649,[11.32207998]
699,[12.81749179]
749,[12.98364865]
799,[11.65439372]
849,[10.65745251]
899,[17.8021978]
949,[11.48823685]
999,[9.82666818]
1049,[10.65745251]
1099,[10.82360938]
1149,[14.81137419]
1199,[12.81749179]
1249,[12.31902119]
1299,[9.32819758]
1349,[10.65745251]
1399,[12.48517805]
1449,[12.48517805]
1499,[11.65439372]
1549,[7.1681583]
1599,[9.49435444]
1649,[12.81749179]
1699,[11.98670745]
1749,[12.81749179]
1799,[11.15592311]
1849,[11.65439372]
1899,[12.81749179]
1949,[11.98670745]
1999,[11.98670745]
2049,[12.65133492]
2099,[14.97753106]
2149,[12.31902119]
2199,[11.48823685]
2249,[9.32819758]
2299,[7.50047204]
2349,[11.98670745]
2399,[12.81749179]
2449,[10.82360938]
2499,[7.1681583]
2549,[6.83584457]
2599,[13.31596239]
2649,[11.82055058]
2699,[11.65439372]
2749,[8.66357011]
2799,[8.49741324]
2849,[12.31902119]
2899,[12.15286432]
2949,[10.65745251]
2999,[9.66051131]
3049,[10.98976625]
3099,[12.15286432]
3149,[11.65439372]
3199,[9.82666818]
3249,[12.65133492]
3299,[11.82055058]
3349,[11.82055058]
3399,[12.81749179]
3449,[13.48211926]
3499,[17.8021978]
3549,[12.81749179]
3599,[12.81749179]
3649,[15.64215853]
3699,[15.47600166]
3749,[15.8083154]
3799,[12.48517805]
3849,[12.15286432]
3899,[14.14674672]
3949,[14.31290359]
3999,[11.65439372]
4049,[12.65133492]
4099,[10.82360938]
4149,[15.64215853]
4199,[12.48517805]
4249,[12.15286432]
4299,[11.32207998]
4349,[12.81749179]
4399,[17.13757033]
4449,[19.46376647]
4499,[13.48211926]
4549,[12.48517805]
4599,[10.98976625]
4649,[10.32513878]
4699,[12.98364865]
4749,[13.31596239]
4799,[13.48211926]
4849,[15.14368793]
4899,[13.64827612]
4949,[12.15286432]
4999,[11.98670745]
5049,[13.81443299]
5099,[16.306786]
5149,[18.3006684]
5199,[12.15286432]
5249,[12.81749179]
5299,[12.81749179]
5349,[15.14368793]
5399,[14.97753106]
5449,[12.31902119]
5499,[11.15592311]
5549,[10.65745251]
5599,[9.82666818]
5649,[11.48823685]
5699,[12.81749179]
5749,[13.48211926]
5799,[12.98364865]
5849,[14.47906046]
5899,[12.15286432]
5949,[12.48517805]
5999,[12.15286432]
6049,[16.8052566]
6099,[19.46376647]
6149,[13.64827612]
6199,[13.14980552]
6249,[11.82055058]
6299,[12.81749179]
6349,[12.15286432]
6399,[12.81749179]
6449,[12.31902119]
6499,[10.49129565]
6549,[12.98364865]
6599,[11.98670745]
6649,[12.98364865]
6699,[12.31902119]
6749,[13.98058986]
6799,[18.13451154]
6849,[12.81749179]
6899,[11.98670745]
6949,[11.98670745]
6999,[15.64215853]
7049,[17.8021978]
7099,[13.31596239]
7149,[12.81749179]
7199,[13.98058986]
7249,[7.6666289]
7299,[12.65133492]
7349,[12.15286432]
7399,[11.82055058]
7449,[14.97753106]
7499,[15.47600166]
7549,[14.31290359]
7599,[12.48517805]
7649,[12.98364865]
7699,[17.46988407]
7749,[18.13451154]
7799,[12.65133492]
7849,[11.48823685]
7899,[12.98364865]
7949,[11.48823685]
7999,[11.65439372]
8049,[11.98670745]
8099,[12.31902119]
8149,[13.14980552]
8199,[17.3037272]
8249,[12.81749179]
8299,[12.98364865]
8349,[13.31596239]
8399,[16.47294286]
8449,[18.46682527]
8499,[12.81749179]
8549,[12.98364865]
8599,[13.31596239]
8649,[15.97447226]
8699,[12.81749179]
8749,[12.31902119]
8799,[14.31290359]
8849,[13.31596239]
8899,[12.81749179]
8949,[12.81749179]
8999,[12.81749179]
9049,[13.64827612]
9099,[14.14674672]
9149,[16.97141347]
9199,[12.65133492]
9249,[12.15286432]
9299,[12.31902119]
9349,[14.47906046]
9399,[16.8052566]
9449,[12.31902119]
9499,[12.81749179]
9549,[12.81749179]
9599,[10.82360938]
9649,[12.31902119]
9699,[12.81749179]
9749,[12.81749179]
9799,[14.31290359]
9849,[17.63604094]
9899,[11.82055058]
9949,[12.81749179]
9999,[14.14674672]
10049,[13.48211926]
10099,[18.13451154]
10149,[12.48517805]
10199,[11.65439372]
10249,[12.81749179]
10299,[12.31902119]
10349,[12.81749179]
10399,[12.81749179]
10449,[12.15286432]
10499,[12.48517805]
10549,[14.47906046]
10599,[12.81749179]
10649,[12.81749179]
10699,[13.81443299]
10749,[13.64827612]
10799,[18.79913901]
10849,[12.81749179]
10899,[11.82055058]
10949,[11.82055058]
10999,[13.14980552]
11049,[16.63909973]
11099,[12.48517805]
11149,[12.15286432]
11199,[12.15286432]
11249,[9.82666818]
11299,[11.48823685]
11349,[13.14980552]
11399,[12.98364865]
11449,[14.14674672]
11499,[16.8052566]
11549,[11.48823685]
11599,[13.31596239]
11649,[13.48211926]
11699,[13.14980552]
11749,[17.46988407]
11799,[12.81749179]
11849,[12.31902119]
11899,[12.81749179]
11949,[10.82360938]
11999,[9.16204071]
12049,[12.81749179]
12099,[12.81749179]
12149,[13.48211926]
12199,[16.47294286]
