timeLog,thermoLog
0,[16.63909973]
50,[16.8052566]
100,[16.8052566]
150,[21.09157509]
200,[21.73626374]
250,[15.8083154]
300,[15.64215853]
350,[13.14980552]
400,[15.14368793]
450,[16.63909973]
500,[15.8083154]
550,[14.64521733]
600,[12.81749179]
650,[11.65439372]
700,[15.8083154]
750,[15.97447226]
800,[15.64215853]
850,[12.65133492]
900,[10.98976625]
950,[16.47294286]
1000,[16.14062913]
1050,[17.13757033]
1100,[16.8052566]
1150,[16.8052566]
1200,[17.13757033]
1250,[16.97141347]
1300,[15.47600166]
1350,[11.32207998]
1400,[15.47600166]
1450,[15.64215853]
1500,[14.64521733]
1550,[15.30984479]
1600,[13.14980552]
1650,[15.47600166]
1700,[15.47600166]
1750,[14.31290359]
1800,[14.47906046]
1850,[16.306786]
1900,[14.97753106]
1950,[17.13757033]
2000,[19.29760961]
2050,[16.47294286]
2100,[15.8083154]
2150,[15.97447226]
2200,[16.8052566]
2250,[18.63298214]
2300,[19.13145274]
2350,[15.8083154]
2400,[15.47600166]
2450,[15.14368793]
2500,[10.65745251]
2550,[16.14062913]
2600,[15.47600166]
2650,[15.30984479]
2700,[15.47600166]
2750,[10.98976625]
2800,[15.97447226]
2850,[15.47600166]
2900,[15.8083154]
2950,[14.31290359]
3000,[11.65439372]
3050,[16.14062913]
3100,[16.306786]
3150,[19.62992334]
3200,[19.62992334]
3250,[16.8052566]
3300,[15.8083154]
3350,[17.46988407]
3400,[19.29760961]
3450,[21.09157509]
3500,[16.14062913]
3550,[15.30984479]
3600,[16.63909973]
3650,[17.63604094]
3700,[18.3006684]
3750,[14.97753106]
3800,[15.47600166]
3850,[13.31596239]
3900,[10.82360938]
3950,[15.47600166]
4000,[15.47600166]
4050,[14.81137419]
4100,[11.98670745]
4150,[12.81749179]
4200,[15.97447226]
4250,[15.47600166]
4300,[16.14062913]
4350,[14.81137419]
4400,[12.31902119]
4450,[16.306786]
4500,[16.8052566]
4550,[19.46376647]
4600,[17.63604094]
4650,[16.63909973]
4700,[15.47600166]
4750,[16.47294286]
4800,[19.46376647]
4850,[20.28571429]
4900,[16.47294286]
4950,[15.64215853]
5000,[16.14062913]
5050,[16.97141347]
5100,[17.13757033]
5150,[16.14062913]
5200,[14.47906046]
5250,[13.14980552]
5300,[18.96529587]
5350,[15.8083154]
5400,[16.47294286]
5450,[15.14368793]
5500,[15.47600166]
5550,[22.7032967]
5600,[15.8083154]
5650,[16.47294286]
5700,[16.8052566]
5750,[15.64215853]
5800,[16.14062913]
5850,[15.30984479]
5900,[16.14062913]
5950,[10.82360938]
6000,[10.32513878]
6050,[16.97141347]
6100,[15.8083154]
6150,[15.8083154]
6200,[12.65133492]
6250,[10.65745251]
6300,[14.31290359]
6350,[16.8052566]
6400,[16.97141347]
6450,[16.8052566]
6500,[15.47600166]
6550,[16.8052566]
6600,[15.97447226]
6650,[19.13145274]
6700,[21.41391941]
6750,[16.8052566]
6800,[16.14062913]
6850,[16.63909973]
6900,[16.8052566]
6950,[11.65439372]
7000,[15.30984479]
7050,[15.64215853]
7100,[15.64215853]
7150,[17.46988407]
7200,[16.14062913]
7250,[15.8083154]
7300,[15.64215853]
7350,[16.306786]
7400,[19.62992334]
7450,[15.47600166]
7500,[16.14062913]
7550,[17.13757033]
7600,[14.64521733]
7650,[17.96835467]
7700,[16.14062913]
7750,[15.8083154]
7800,[13.81443299]
7850,[13.81443299]
7900,[16.306786]
7950,[15.97447226]
8000,[14.14674672]
8050,[12.48517805]
8100,[18.79913901]
8150,[16.47294286]
8200,[16.47294286]
8250,[14.97753106]
8300,[13.31596239]
8350,[15.47600166]
8400,[16.14062913]
8450,[16.97141347]
8500,[14.81137419]
8550,[11.98670745]
8600,[15.8083154]
8650,[15.97447226]
8700,[15.64215853]
8750,[14.14674672]
8800,[12.98364865]
8850,[16.306786]
8900,[15.64215853]
8950,[16.97141347]
9000,[15.8083154]
9050,[16.14062913]
9100,[15.97447226]
9150,[16.97141347]
9200,[18.63298214]
9250,[16.306786]
9300,[14.97753106]
9350,[16.14062913]
9400,[16.47294286]
9450,[18.79913901]
9500,[10.32513878]
9550,[16.14062913]
9600,[16.63909973]
9650,[14.81137419]
9700,[17.3037272]
9750,[16.14062913]
9800,[15.64215853]
9850,[14.81137419]
9900,[15.97447226]
9950,[15.47600166]
10000,[16.14062913]
10050,[15.8083154]
10100,[16.8052566]
10150,[13.48211926]
10200,[20.12454212]
10250,[15.8083154]
10300,[15.47600166]
10350,[16.97141347]
10400,[11.15592311]
10450,[15.47600166]
10500,[15.64215853]
10550,[15.97447226]
10600,[15.47600166]
10650,[9.66051131]
10700,[16.14062913]
10750,[15.30984479]
10800,[16.8052566]
10850,[13.98058986]
10900,[15.8083154]
10950,[15.64215853]
11000,[16.14062913]
11050,[18.13451154]
11100,[17.13757033]
11150,[16.47294286]
11200,[16.63909973]
11250,[16.97141347]
11300,[18.79913901]
11350,[11.15592311]
11400,[15.14368793]
11450,[15.97447226]
11500,[15.47600166]
11550,[19.13145274]
11600,[16.47294286]
11650,[16.14062913]
11700,[16.47294286]
11750,[15.47600166]
11800,[19.79608021]
11850,[14.97753106]
11900,[16.14062913]
11950,[16.14062913]
12000,[15.14368793]
12050,[20.28571429]
12100,[16.306786]
12150,[16.306786]
12200,[15.8083154]
12250,[11.82055058]
12300,[16.306786]
12350,[16.8052566]
12400,[16.306786]
12450,[14.14674672]
12500,[9.82666818]
12550,[15.8083154]
12600,[16.306786]
12650,[16.8052566]
12700,[14.14674672]
12750,[14.31290359]
12800,[15.14368793]
12850,[16.306786]
12900,[16.8052566]
12950,[14.14674672]
13000,[15.97447226]
13050,[16.8052566]
13100,[16.47294286]
13150,[18.3006684]
13200,[9.82666818]
13250,[16.14062913]
13300,[16.14062913]
13350,[14.97753106]
13400,[17.46988407]
13450,[10.49129565]
13500,[16.306786]
13550,[15.8083154]
13600,[14.47906046]
13650,[17.96835467]
13700,[14.64521733]
13750,[15.97447226]
13800,[15.8083154]
13850,[14.97753106]
13900,[19.79608021]
13950,[14.97753106]
14000,[16.14062913]
14050,[14.97753106]
14100,[17.63604094]
14150,[17.13757033]
14200,[16.306786]
14250,[16.14062913]
14300,[13.48211926]
14350,[18.13451154]
14400,[15.47600166]
14450,[16.8052566]
14500,[14.64521733]
14550,[12.81749179]
14600,[23.34798535]
14650,[16.14062913]
14700,[16.306786]
14750,[15.64215853]
14800,[11.48823685]
14850,[16.63909973]
14900,[15.97447226]
14950,[16.47294286]
15000,[15.30984479]
15050,[10.15898191]
15100,[14.14674672]
15150,[16.47294286]
15200,[17.13757033]
15250,[17.3037272]
15300,[12.48517805]
15350,[16.47294286]
15400,[15.14368793]
15450,[16.47294286]
15500,[18.13451154]
15550,[14.97753106]
15600,[15.97447226]
15650,[14.14674672]
15700,[16.8052566]
15750,[20.76923077]
15800,[15.64215853]
15850,[15.97447226]
15900,[15.47600166]
15950,[16.14062913]
16000,[14.47906046]
16050,[16.14062913]
16100,[15.14368793]
16150,[16.306786]
16200,[12.81749179]
16250,[17.46988407]
16300,[15.30984479]
16350,[15.64215853]
16400,[15.47600166]
16450,[14.97753106]
16500,[15.47600166]
16550,[16.14062913]
16600,[16.14062913]
16650,[12.81749179]
16700,[13.81443299]
16750,[15.8083154]
