timeLog,thermoLog
0,[-11.22481685]
50,[-17.43666056]
100,[-18.7797619]
150,[-14.41468254]
200,[-15.08623321]
250,[-11.89636752]
300,[-17.26877289]
350,[-15.92567155]
400,[-14.58257021]
450,[-14.58257021]
500,[-20.30672624]
550,[-16.59722222]
600,[-15.08623321]
650,[-15.58989621]
700,[-14.41468254]
750,[-17.60454823]
800,[-18.2760989]
850,[-15.25412088]
900,[-14.41468254]
950,[-14.75045788]
1000,[-13.74313187]
1050,[-13.0715812]
1100,[-13.91101954]
1150,[-15.58989621]
1200,[-18.10821123]
1250,[-17.94032357]
1300,[-15.42200855]
1350,[-15.25412088]
1400,[-15.42200855]
1450,[-15.92567155]
1500,[-9.54594017]
1550,[-14.58257021]
1600,[-15.92567155]
1650,[-15.75778388]
1700,[-13.91101954]
1750,[-11.56059219]
1800,[-14.41468254]
1850,[-15.08623321]
1900,[-16.42933455]
1950,[-17.10088523]
2000,[-14.24679487]
2050,[-14.24679487]
2100,[-15.25412088]
2150,[-18.44398657]
2200,[-13.0715812]
2250,[-14.91834554]
2300,[-15.42200855]
2350,[-13.74313187]
2400,[-8.53861416]
2450,[-8.3707265]
2500,[-15.92567155]
2550,[-14.75045788]
2600,[-14.58257021]
2650,[-11.22481685]
2700,[-10.21749084]
2750,[-15.25412088]
2800,[-14.58257021]
2850,[-13.40735653]
2900,[-14.41468254]
2950,[-14.41468254]
3000,[-14.91834554]
3050,[-14.58257021]
3100,[-10.72115385]
3150,[-9.21016484]
3200,[-14.75045788]
3250,[-13.40735653]
3300,[-14.58257021]
3350,[-12.56791819]
3400,[-6.69184982]
3450,[-14.58257021]
3500,[-15.25412088]
3550,[-15.25412088]
3600,[-13.5752442]
3650,[-13.91101954]
3700,[-14.91834554]
3750,[-13.91101954]
3800,[-11.05692918]
3850,[-10.88904151]
3900,[-14.24679487]
3950,[-13.23946886]
4000,[-13.5752442]
4050,[-12.23214286]
4100,[-16.42933455]
4150,[-14.91834554]
4200,[-14.24679487]
4250,[-13.40735653]
4300,[-14.75045788]
4350,[-18.94764957]
4400,[-14.58257021]
4450,[-14.58257021]
4500,[-13.23946886]
4550,[-12.40003053]
4600,[-13.91101954]
4650,[-15.08623321]
4700,[-13.5752442]
4750,[-13.23946886]
4800,[-9.54594017]
4850,[-14.41468254]
4900,[-15.58989621]
4950,[-15.92567155]
5000,[-18.44398657]
5050,[-21.36939983]
5100,[-15.08623321]
5150,[-15.42200855]
5200,[-14.58257021]
5250,[-15.25412088]
5300,[-15.92567155]
5350,[-14.91834554]
5400,[-14.91834554]
5450,[-16.09355922]
5500,[-14.75045788]
5550,[-14.58257021]
5600,[-14.58257021]
5650,[-14.91834554]
5700,[-16.93299756]
5750,[-17.26877289]
5800,[-13.40735653]
5850,[-13.5752442]
5900,[-13.5752442]
5950,[-12.23214286]
6000,[-8.8743895]
6050,[-13.91101954]
6100,[-15.25412088]
6150,[-13.74313187]
6200,[-11.22481685]
6250,[-13.91101954]
6300,[-15.75778388]
6350,[-13.91101954]
6400,[-13.0715812]
6450,[-14.58257021]
6500,[-14.41468254]
6550,[-13.91101954]
6600,[-13.74313187]
6650,[-9.88171551]
6700,[-7.86706349]
6750,[-12.90369353]
6800,[-13.74313187]
6850,[-14.91834554]
6900,[-13.74313187]
6950,[-8.20283883]
7000,[-15.08623321]
7050,[-15.08623321]
7100,[-13.23946886]
7150,[-13.0715812]
7200,[-14.41468254]
7250,[-14.75045788]
7300,[-13.23946886]
7350,[-12.56791819]
7400,[-9.88171551]
7450,[-13.91101954]
7500,[-15.08623321]
7550,[-12.73580586]
7600,[-10.04960317]
7650,[-7.86706349]
7700,[-13.40735653]
7750,[-14.91834554]
7800,[-13.5752442]
7850,[-14.91834554]
7900,[-9.04227717]
7950,[-13.91101954]
8000,[-13.0715812]
8050,[-13.40735653]
8100,[-13.5752442]
8150,[-14.58257021]
8200,[-13.91101954]
8250,[-13.5752442]
8300,[-9.21016484]
8350,[-9.04227717]
8400,[-15.25412088]
8450,[-14.91834554]
8500,[-13.91101954]
8550,[-11.89636752]
8600,[-8.8743895]
8650,[-14.58257021]
8700,[-16.26144689]
8750,[-13.91101954]
8800,[-15.42200855]
8850,[-14.58257021]
8900,[-16.26144689]
8950,[-15.08623321]
9000,[-14.91834554]
9050,[-12.23214286]
9100,[-14.58257021]
9150,[-14.91834554]
9200,[-15.92567155]
9250,[-18.61187424]
9300,[-21.5465121]
9350,[-13.74313187]
9400,[-13.91101954]
9450,[-15.08623321]
9500,[-15.08623321]
9550,[-22.07784889]
9600,[-15.58989621]
9650,[-14.58257021]
9700,[-13.5752442]
9750,[-11.56059219]
9800,[-8.20283883]
9850,[-14.41468254]
9900,[-13.91101954]
9950,[-14.24679487]
10000,[-14.58257021]
10050,[-14.75045788]
10100,[-13.91101954]
10150,[-15.08623321]
10200,[-11.89636752]
10250,[-9.88171551]
10300,[-15.25412088]
10350,[-13.74313187]
10400,[-13.91101954]
10450,[-12.56791819]
10500,[-8.8743895]
10550,[-14.58257021]
10600,[-15.08623321]
10650,[-14.41468254]
10700,[-15.58989621]
10750,[-13.74313187]
10800,[-14.91834554]
10850,[-14.41468254]
10900,[-14.91834554]
10950,[-11.56059219]
11000,[-13.91101954]
11050,[-14.58257021]
11100,[-13.5752442]
11150,[-18.44398657]
11200,[-17.10088523]
11250,[-14.75045788]
11300,[-14.91834554]
11350,[-14.91834554]
11400,[-18.2760989]
11450,[-18.61187424]
11500,[-14.24679487]
11550,[-14.24679487]
11600,[-14.91834554]
11650,[-11.72847985]
11700,[-13.23946886]
11750,[-13.40735653]
11800,[-14.24679487]
11850,[-13.91101954]
11900,[-18.61187424]
11950,[-14.0789072]
12000,[-13.5752442]
12050,[-13.91101954]
12100,[-11.05692918]
12150,[-7.36340049]
12200,[-13.23946886]
12250,[-14.91834554]
12300,[-13.91101954]
12350,[-15.25412088]
12400,[-6.69184982]
12450,[-14.41468254]
12500,[-13.74313187]
12550,[-15.08623321]
12600,[-15.42200855]
12650,[-16.09355922]
12700,[-15.08623321]
12750,[-13.74313187]
12800,[-12.40003053]
12850,[-14.58257021]
12900,[-14.58257021]
12950,[-14.41468254]
13000,[-15.25412088]
13050,[-17.43666056]
13100,[-22.25496116]
13150,[-14.58257021]
13200,[-14.24679487]
13250,[-15.75778388]
13300,[-15.25412088]
13350,[-20.83806304]
13400,[-13.74313187]
13450,[-14.58257021]
13500,[-13.91101954]
13550,[-10.38537851]
13600,[-13.40735653]
13650,[-14.58257021]
13700,[-14.41468254]
13750,[-17.10088523]
13800,[-19.28342491]
13850,[-14.58257021]
13900,[-14.58257021]
13950,[-14.41468254]
14000,[-10.04960317]
14050,[-20.30672624]
14100,[-14.41468254]
14150,[-13.91101954]
14200,[-14.24679487]
14250,[-11.89636752]
14300,[-10.55326618]
14350,[-14.24679487]
14400,[-14.75045788]
14450,[-13.74313187]
14500,[-16.59722222]
14550,[-13.91101954]
14600,[-14.24679487]
14650,[-14.75045788]
14700,[-11.56059219]
14750,[-11.22481685]
14800,[-15.25412088]
14850,[-13.91101954]
14900,[-14.75045788]
14950,[-14.41468254]
15000,[-14.41468254]
15050,[-15.58989621]
15100,[-14.0789072]
15150,[-15.25412088]
15200,[-16.26144689]
15250,[-17.43666056]
15300,[-13.74313187]
15350,[-14.75045788]
15400,[-13.91101954]
15450,[-9.04227717]
15500,[-13.91101954]
15550,[-14.91834554]
15600,[-15.08623321]
15650,[-15.75778388]
15700,[-18.94764957]
15750,[-14.24679487]
15800,[-13.5752442]
15850,[-14.91834554]
15900,[-11.39270452]
15950,[-18.2760989]
16000,[-15.08623321]
16050,[-13.40735653]
16100,[-13.5752442]
16150,[-12.40003053]
16200,[-14.41468254]
16250,[-13.91101954]
16300,[-15.08623321]
16350,[-13.74313187]
16400,[-15.08623321]
16450,[-14.24679487]
16500,[-14.91834554]
16550,[-14.58257021]
16600,[-12.56791819]
16650,[-11.72847985]
16700,[-15.08623321]
16750,[-14.41468254]
16800,[-15.08623321]
16850,[-17.94032357]
16900,[-17.43666056]
16950,[-15.25412088]
17000,[-14.24679487]
17050,[-14.24679487]
17100,[-13.23946886]
17150,[-14.91834554]
17200,[-15.92567155]
17250,[-13.40735653]
17300,[-13.91101954]
17350,[-12.56791819]
17400,[-10.88904151]
17450,[-13.74313187]
17500,[-13.91101954]
17550,[-13.5752442]
17600,[-16.42933455]
17650,[-14.0789072]
17700,[-13.5752442]
17750,[-13.23946886]
17800,[-13.0715812]
17850,[-8.20283883]
17900,[-12.73580586]
17950,[-14.58257021]
18000,[-15.08623321]
18050,[-17.94032357]
