timeLog,thermoLog
0,[17.63604094]
49,[16.306786]
99,[15.47600166]
149,[16.306786]
199,[14.64521733]
249,[13.81443299]
299,[15.47600166]
349,[16.63909973]
399,[19.29760961]
449,[19.96223708]
499,[16.14062913]
549,[16.14062913]
599,[16.306786]
649,[15.97447226]
699,[20.44688645]
749,[15.8083154]
799,[15.14368793]
849,[14.97753106]
899,[18.13451154]
949,[14.97753106]
999,[15.30984479]
1049,[15.47600166]
1099,[14.31290359]
1149,[20.44688645]
1199,[17.13757033]
1249,[15.47600166]
1299,[14.64521733]
1349,[16.8052566]
1399,[19.46376647]
1449,[16.47294286]
1499,[14.81137419]
1549,[14.31290359]
1599,[13.98058986]
1649,[15.97447226]
1699,[15.14368793]
1749,[14.64521733]
1799,[11.82055058]
1849,[10.32513878]
1899,[16.306786]
1949,[16.14062913]
1999,[15.14368793]
2049,[11.98670745]
2099,[9.16204071]
2149,[15.47600166]
2199,[15.8083154]
2249,[17.63604094]
2299,[17.46988407]
2349,[16.47294286]
2399,[15.8083154]
2449,[16.8052566]
2499,[18.46682527]
2549,[21.09157509]
2599,[15.47600166]
2649,[15.8083154]
2699,[16.47294286]
2749,[19.79608021]
2799,[18.96529587]
2849,[15.8083154]
2899,[16.97141347]
2949,[14.64521733]
2999,[12.81749179]
3049,[14.81137419]
3099,[15.47600166]
3149,[15.47600166]
3199,[12.31902119]
3249,[9.99282504]
3299,[15.97447226]
3349,[14.64521733]
3399,[14.81137419]
3449,[12.15286432]
3499,[9.66051131]
3549,[15.47600166]
3599,[16.14062913]
3649,[17.3037272]
3699,[16.8052566]
3749,[15.64215853]
3799,[15.97447226]
3849,[16.14062913]
3899,[17.8021978]
3949,[14.47906046]
3999,[14.81137419]
4049,[16.14062913]
4099,[15.97447226]
4149,[19.13145274]
4199,[14.97753106]
4249,[14.14674672]
4299,[14.47906046]
4349,[14.31290359]
4399,[13.14980552]
4449,[15.97447226]
4499,[14.81137419]
4549,[14.81137419]
4599,[13.48211926]
4649,[11.48823685]
4699,[15.47600166]
4749,[15.47600166]
4799,[15.8083154]
4849,[15.64215853]
4899,[18.46682527]
4949,[15.47600166]
4999,[16.8052566]
5049,[15.64215853]
5099,[14.14674672]
5149,[15.47600166]
5199,[15.97447226]
5249,[15.97447226]
5299,[18.79913901]
5349,[15.47600166]
5399,[14.31290359]
5449,[15.64215853]
5499,[14.14674672]
5549,[14.31290359]
5599,[9.16204071]
5649,[16.306786]
5699,[15.14368793]
5749,[16.47294286]
5799,[19.62992334]
5849,[15.64215853]
5899,[15.8083154]
5949,[16.8052566]
5999,[18.96529587]
6049,[20.60805861]
6099,[15.47600166]
6149,[16.47294286]
6199,[15.64215853]
6249,[17.63604094]
6299,[16.63909973]
6349,[15.64215853]
6399,[15.30984479]
6449,[13.48211926]
6499,[13.14980552]
6549,[15.64215853]
6599,[15.14368793]
6649,[13.81443299]
6699,[13.48211926]
6749,[22.38095238]
6799,[15.8083154]
6849,[16.14062913]
6899,[15.47600166]
6949,[14.64521733]
6999,[15.8083154]
7049,[14.97753106]
7099,[14.31290359]
7149,[11.48823685]
7199,[8.99588384]
7249,[16.14062913]
7299,[15.8083154]
7349,[15.8083154]
7399,[12.81749179]
7449,[11.48823685]
7499,[15.30984479]
7549,[16.14062913]
7599,[16.47294286]
7649,[12.81749179]
7699,[15.30984479]
7749,[16.14062913]
7799,[15.47600166]
7849,[17.96835467]
7899,[10.49129565]
7949,[15.14368793]
7999,[15.14368793]
8049,[14.81137419]
8099,[14.14674672]
8149,[11.48823685]
8199,[15.8083154]
8249,[15.30984479]
8299,[19.29760961]
8349,[18.46682527]
8399,[15.47600166]
8449,[15.47600166]
8499,[16.97141347]
8549,[17.63604094]
8599,[18.13451154]
8649,[14.97753106]
8699,[15.64215853]
8749,[15.47600166]
8799,[18.3006684]
8849,[18.13451154]
8899,[14.97753106]
8949,[15.8083154]
8999,[13.64827612]
9049,[12.81749179]
9099,[16.14062913]
9149,[15.97447226]
9199,[14.47906046]
9249,[12.65133492]
9299,[20.28571429]
9349,[15.97447226]
9399,[15.8083154]
9449,[15.8083154]
9499,[14.81137419]
9549,[16.14062913]
9599,[15.30984479]
9649,[16.63909973]
9699,[15.97447226]
9749,[13.64827612]
9799,[16.306786]
9849,[14.97753106]
9899,[16.8052566]
9949,[19.46376647]
9999,[10.32513878]
10049,[15.97447226]
10099,[16.14062913]
10149,[14.81137419]
10199,[19.62992334]
10249,[15.8083154]
10299,[16.306786]
10349,[14.81137419]
10399,[16.97141347]
10449,[22.54212454]
10499,[15.64215853]
10549,[16.306786]
10599,[14.47906046]
10649,[16.97141347]
10699,[15.64215853]
10749,[16.14062913]
10799,[15.97447226]
10849,[15.14368793]
10899,[11.82055058]
10949,[14.97753106]
10999,[15.97447226]
11049,[15.8083154]
11099,[12.31902119]
11149,[13.31596239]
11199,[15.64215853]
11249,[16.14062913]
11299,[14.97753106]
11349,[13.14980552]
11399,[16.14062913]
11449,[15.47600166]
11499,[16.14062913]
11549,[17.46988407]
11599,[15.47600166]
11649,[14.97753106]
11699,[16.8052566]
11749,[16.47294286]
11799,[18.46682527]
11849,[13.48211926]
11899,[15.8083154]
11949,[14.97753106]
11999,[15.47600166]
12049,[18.79913901]
12099,[16.8052566]
12149,[15.64215853]
12199,[15.47600166]
12249,[14.14674672]
12299,[13.48211926]
12349,[14.47906046]
12399,[15.30984479]
12449,[15.14368793]
12499,[13.48211926]
12549,[14.14674672]
12599,[16.63909973]
12649,[15.47600166]
12699,[15.14368793]
12749,[11.98670745]
12799,[17.46988407]
12849,[15.8083154]
12899,[16.8052566]
12949,[16.63909973]
12999,[15.30984479]
13049,[15.14368793]
13099,[15.14368793]
13149,[15.64215853]
13199,[17.46988407]
13249,[15.97447226]
13299,[15.8083154]
13349,[16.8052566]
13399,[16.8052566]
13449,[17.46988407]
13499,[11.65439372]
13549,[16.14062913]
13599,[15.47600166]
13649,[14.81137419]
13699,[17.46988407]
13749,[15.47600166]
13799,[14.47906046]
13849,[15.64215853]
13899,[12.81749179]
13949,[10.82360938]
13999,[15.14368793]
14049,[14.97753106]
14099,[14.97753106]
14149,[13.14980552]
14199,[19.62992334]
14249,[15.8083154]
14299,[16.8052566]
14349,[15.97447226]
14399,[10.15898191]
14449,[15.97447226]
14499,[15.97447226]
14549,[16.306786]
14599,[16.8052566]
14649,[10.32513878]
14699,[15.47600166]
14749,[15.47600166]
14799,[16.14062913]
14849,[16.97141347]
14899,[14.81137419]
14949,[15.47600166]
14999,[15.14368793]
15049,[16.306786]
15099,[18.96529587]
15149,[16.306786]
15199,[15.64215853]
15249,[14.81137419]
15299,[17.63604094]
15349,[20.76923077]
15399,[15.47600166]
15449,[16.14062913]
15499,[15.47600166]
15549,[18.46682527]
15599,[15.8083154]
15649,[15.47600166]
15699,[15.14368793]
15749,[14.81137419]
15799,[18.13451154]
15849,[15.64215853]
15899,[14.81137419]
15949,[14.64521733]
15999,[13.81443299]
16049,[20.76923077]
16099,[15.64215853]
16149,[15.30984479]
16199,[15.64215853]
16249,[11.15592311]
16299,[15.14368793]
16349,[15.64215853]
16399,[15.8083154]
16449,[14.81137419]
16499,[10.15898191]
16549,[15.8083154]
16599,[16.306786]
16649,[15.8083154]
16699,[15.14368793]
16749,[13.64827612]
16799,[14.64521733]
16849,[15.47600166]
16899,[15.64215853]
16949,[15.47600166]
16999,[15.97447226]
17049,[15.47600166]
17099,[15.8083154]
17149,[17.8021978]
17199,[13.81443299]
17249,[15.30984479]
17299,[15.97447226]
17349,[16.306786]
17399,[18.3006684]
17449,[11.48823685]
17499,[15.8083154]
17549,[14.81137419]
17599,[15.97447226]
17649,[19.13145274]
17699,[15.47600166]
17749,[15.47600166]
17799,[15.30984479]
17849,[15.47600166]
17899,[16.8052566]
17949,[15.8083154]
17999,[16.14062913]
18049,[16.63909973]
18099,[19.96223708]
18149,[15.47600166]
18199,[15.97447226]
18249,[13.81443299]
18299,[13.48211926]
18349,[20.60805861]
18399,[16.14062913]
18449,[16.63909973]
18499,[14.47906046]
18549,[13.48211926]
18599,[19.62992334]
18649,[15.8083154]
18699,[16.14062913]
18749,[14.97753106]
18799,[12.81749179]
18849,[15.97447226]
18899,[15.47600166]
18949,[15.8083154]
18999,[17.63604094]
19049,[11.65439372]
19099,[17.3037272]
19149,[15.47600166]
19199,[16.306786]
19249,[19.46376647]
19299,[9.66051131]
19349,[15.64215853]
19399,[15.97447226]
19449,[15.8083154]
19499,[18.79913901]
19549,[14.97753106]
19599,[15.64215853]
19649,[15.8083154]
19699,[16.14062913]
19749,[20.28571429]
19799,[16.306786]
19849,[15.64215853]
19899,[15.14368793]
19949,[14.64521733]
19999,[14.81137419]
20049,[15.64215853]
20099,[15.47600166]
20149,[16.306786]
20199,[12.98364865]
20249,[15.14368793]
20299,[16.63909973]
20349,[15.8083154]
20399,[15.64215853]
20449,[10.65745251]
20499,[16.14062913]
20549,[15.47600166]
20599,[14.47906046]
20649,[14.47906046]
20699,[18.13451154]
20749,[14.97753106]
20799,[15.97447226]
20849,[15.30984479]
20899,[13.31596239]
20949,[15.97447226]
20999,[15.64215853]
21049,[16.97141347]
21099,[16.8052566]
21149,[10.49129565]
21199,[15.47600166]
21249,[16.97141347]
21299,[16.306786]
21349,[18.13451154]
21399,[10.49129565]
21449,[15.47600166]
21499,[15.8083154]
21549,[14.14674672]
21599,[18.46682527]
21649,[16.8052566]
21699,[14.31290359]
21749,[16.14062913]
21799,[13.81443299]
21849,[21.25274725]
21899,[14.14674672]
21949,[16.8052566]
21999,[15.64215853]
22049,[14.97753106]
22099,[19.29760961]
22149,[15.30984479]
22199,[15.64215853]
22249,[16.14062913]
22299,[12.81749179]
22349,[15.97447226]
22399,[15.64215853]
22449,[14.64521733]
22499,[17.3037272]
22549,[19.13145274]
22599,[15.14368793]
22649,[15.47600166]
22699,[14.31290359]
22749,[16.63909973]
22799,[15.97447226]
22849,[15.14368793]
22899,[15.47600166]
22949,[15.97447226]
22999,[12.31902119]
23049,[14.97753106]
23099,[15.64215853]
23149,[15.97447226]
23199,[18.96529587]
23249,[11.98670745]
23299,[15.64215853]
23349,[15.47600166]
23399,[17.13757033]
23449,[19.29760961]
23499,[15.64215853]
23549,[14.81137419]
23599,[14.97753106]
23649,[14.97753106]
23699,[20.76923077]
23749,[15.97447226]
23799,[16.306786]
23849,[14.81137419]
23899,[14.31290359]
23949,[20.12454212]
23999,[15.97447226]
24049,[14.64521733]
24099,[16.14062913]
24149,[12.98364865]
24199,[15.47600166]
24249,[15.64215853]
24299,[15.8083154]
24349,[16.63909973]
24399,[10.15898191]
24449,[16.306786]
24499,[15.97447226]
24549,[15.64215853]
24599,[18.46682527]
24649,[10.65745251]
24699,[15.64215853]
24749,[14.14674672]
24799,[16.97141347]
24849,[20.76923077]
24899,[15.8083154]
24949,[16.306786]
24999,[15.64215853]
25049,[14.47906046]
25099,[18.3006684]
25149,[15.47600166]
25199,[16.14062913]
25249,[13.98058986]
25299,[16.8052566]
25349,[16.97141347]
25399,[16.306786]
25449,[16.14062913]
25499,[17.3037272]
25549,[11.48823685]
25599,[15.97447226]
25649,[16.306786]
25699,[15.8083154]
25749,[16.8052566]
25799,[15.14368793]
25849,[15.14368793]
25899,[15.64215853]
25949,[14.64521733]
25999,[12.65133492]
26049,[20.60805861]
26099,[15.97447226]
26149,[16.306786]
26199,[14.81137419]
26249,[11.15592311]
26299,[16.47294286]
26349,[15.14368793]
26399,[15.14368793]
26449,[18.13451154]
26499,[12.48517805]
26549,[16.8052566]
26599,[16.47294286]
26649,[16.306786]
26699,[17.13757033]
26749,[11.65439372]
26799,[16.14062913]
26849,[15.47600166]
26899,[14.47906046]
26949,[19.62992334]
26999,[15.47600166]
27049,[15.97447226]
27099,[15.97447226]
27149,[13.31596239]
27199,[16.97141347]
27249,[15.47600166]
27299,[15.8083154]
27349,[15.14368793]
27399,[12.81749179]
27449,[19.62992334]
27499,[15.64215853]
27549,[16.14062913]
27599,[14.81137419]
27649,[10.98976625]
27699,[14.81137419]
27749,[16.14062913]
27799,[16.14062913]
27849,[16.8052566]
27899,[12.15286432]
27949,[17.13757033]
27999,[15.8083154]
28049,[16.306786]
28099,[17.3037272]
28149,[11.82055058]
28199,[17.3037272]
28249,[15.47600166]
28299,[14.81137419]
28349,[18.63298214]
28399,[15.14368793]
28449,[15.64215853]
28499,[15.8083154]
28549,[12.81749179]
28599,[19.46376647]
28649,[15.47600166]
28699,[14.97753106]
28749,[15.64215853]
28799,[10.98976625]
28849,[20.28571429]
28899,[15.8083154]
28949,[15.97447226]
28999,[16.63909973]
29049,[12.15286432]
29099,[16.306786]
29149,[16.14062913]
29199,[16.97141347]
29249,[17.46988407]
29299,[13.48211926]
29349,[16.8052566]
29399,[16.47294286]
29449,[16.14062913]
29499,[18.79913901]
29549,[13.64827612]
29599,[15.47600166]
29649,[16.306786]
29699,[14.14674672]
29749,[19.62992334]
29799,[15.97447226]
29849,[15.64215853]
29899,[15.8083154]
29949,[12.48517805]
29999,[18.63298214]
30049,[15.97447226]
30099,[15.64215853]
30149,[14.97753106]
30199,[14.14674672]
30249,[17.96835467]
30299,[14.81137419]
30349,[16.47294286]
30399,[15.97447226]
30449,[15.47600166]
30499,[16.306786]
30549,[16.306786]
30599,[14.81137419]
30649,[18.13451154]
30699,[20.28571429]
30749,[15.97447226]
30799,[15.64215853]
30849,[14.47906046]
30899,[17.63604094]
30949,[15.8083154]
30999,[15.64215853]
31049,[14.64521733]
31099,[14.47906046]
31149,[12.98364865]
31199,[16.8052566]
31249,[15.8083154]
31299,[15.8083154]
31349,[17.3037272]
31399,[13.14980552]
31449,[15.64215853]
31499,[15.14368793]
31549,[16.8052566]
31599,[17.8021978]
31649,[14.97753106]
31699,[15.64215853]
31749,[16.306786]
31799,[16.97141347]
31849,[18.3006684]
31899,[16.47294286]
31949,[15.8083154]
31999,[15.30984479]
32049,[15.14368793]
32099,[19.62992334]
32149,[15.8083154]
32199,[15.64215853]
32249,[14.31290359]
32299,[15.8083154]
32349,[15.47600166]
32399,[15.30984479]
32449,[15.47600166]
32499,[15.64215853]
32549,[12.31902119]
32599,[14.47906046]
32649,[15.8083154]
32699,[15.47600166]
32749,[17.63604094]
32799,[10.15898191]
32849,[15.8083154]
32899,[15.14368793]
32949,[15.97447226]
32999,[20.93040293]
33049,[15.97447226]
33099,[16.14062913]
33149,[15.97447226]
33199,[14.97753106]
33249,[19.46376647]
33299,[15.8083154]
33349,[16.8052566]
33399,[14.64521733]
33449,[16.14062913]
33499,[20.93040293]
33549,[16.306786]
33599,[16.14062913]
33649,[15.64215853]
33699,[13.64827612]
33749,[15.64215853]
33799,[16.306786]
33849,[15.64215853]
33899,[14.64521733]
33949,[19.29760961]
33999,[15.47600166]
34049,[15.14368793]
34099,[15.8083154]
34149,[12.15286432]
34199,[18.13451154]
34249,[15.30984479]
34299,[16.47294286]
34349,[15.14368793]
34399,[11.65439372]
34449,[19.29760961]
34499,[15.30984479]
34549,[14.97753106]
34599,[16.97141347]
34649,[11.98670745]
34699,[16.306786]
34749,[15.64215853]
34799,[15.97447226]
34849,[18.13451154]
34899,[19.96223708]
34949,[16.63909973]
34999,[15.14368793]
35049,[15.47600166]
35099,[15.14368793]
35149,[16.14062913]
35199,[15.64215853]
35249,[14.64521733]
35299,[15.30984479]
35349,[17.46988407]
35399,[16.306786]
35449,[14.97753106]
35499,[14.97753106]
35549,[13.81443299]
35599,[12.48517805]
35649,[16.14062913]
35699,[16.63909973]
35749,[15.47600166]
35799,[16.97141347]
35849,[15.47600166]
35899,[15.8083154]
35949,[15.47600166]
35999,[16.8052566]
36049,[20.93040293]
36099,[16.8052566]
36149,[16.14062913]
36199,[15.30984479]
36249,[13.14980552]
36299,[20.60805861]
36349,[15.47600166]
36399,[14.97753106]
36449,[14.97753106]
36499,[12.31902119]
36549,[16.14062913]
36599,[15.8083154]
36649,[16.306786]
36699,[17.3037272]
36749,[12.98364865]
36799,[15.64215853]
36849,[15.97447226]
36899,[17.46988407]
36949,[18.13451154]
36999,[12.81749179]
37049,[16.14062913]
37099,[15.64215853]
37149,[15.30984479]
37199,[18.96529587]
37249,[15.97447226]
37299,[15.14368793]
37349,[15.64215853]
37399,[13.31596239]
37449,[9.66051131]
37499,[16.306786]
37549,[15.8083154]
37599,[16.306786]
37649,[18.63298214]
37699,[12.31902119]
37749,[15.47600166]
37799,[14.31290359]
37849,[14.31290359]
37899,[16.97141347]
37949,[15.14368793]
37999,[16.306786]
38049,[14.64521733]
38099,[14.31290359]
38149,[15.47600166]
38199,[16.8052566]
38249,[15.64215853]
38299,[17.63604094]
38349,[16.306786]
38399,[15.14368793]
38449,[16.306786]
38499,[15.97447226]
38549,[16.63909973]
38599,[20.12454212]
38649,[16.8052566]
38699,[14.31290359]
38749,[14.81137419]
38799,[14.81137419]
38849,[21.57509158]
38899,[15.8083154]
38949,[15.30984479]
38999,[15.47600166]
39049,[12.81749179]
39099,[15.97447226]
39149,[15.64215853]
39199,[16.306786]
39249,[16.8052566]
39299,[12.98364865]
39349,[16.306786]
39399,[15.47600166]
39449,[17.3037272]
39499,[17.3037272]
39549,[13.31596239]
39599,[16.14062913]
39649,[15.97447226]
39699,[15.97447226]
39749,[17.63604094]
39799,[14.97753106]
39849,[15.47600166]
39899,[15.47600166]
39949,[13.48211926]
39999,[10.82360938]
40049,[15.64215853]
40099,[15.30984479]
40149,[15.8083154]
40199,[19.96223708]
40249,[11.15592311]
40299,[15.8083154]
40349,[16.306786]
40399,[14.81137419]
40449,[18.79913901]
40499,[15.64215853]
40549,[14.47906046]
40599,[15.97447226]
40649,[13.14980552]
40699,[15.47600166]
40749,[14.14674672]
40799,[15.30984479]
40849,[16.97141347]
40899,[15.64215853]
40949,[15.47600166]
40999,[16.14062913]
41049,[16.47294286]
41099,[16.8052566]
41149,[20.12454212]
41199,[15.64215853]
41249,[15.14368793]
41299,[14.97753106]
41349,[13.64827612]
41399,[18.63298214]
41449,[16.306786]
41499,[15.14368793]
41549,[16.47294286]
41599,[11.65439372]
41649,[16.306786]
41699,[15.14368793]
41749,[16.97141347]
41799,[18.79913901]
41849,[15.97447226]
41899,[16.14062913]
41949,[16.97141347]
41999,[16.97141347]
42049,[14.97753106]
42099,[16.63909973]
42149,[15.47600166]
42199,[14.64521733]
42249,[15.14368793]
42299,[14.31290359]
42349,[16.63909973]
42399,[15.30984479]
42449,[16.8052566]
42499,[15.30984479]
42549,[13.81443299]
42599,[15.64215853]
42649,[15.8083154]
42699,[16.97141347]
42749,[16.97141347]
42799,[15.97447226]
42849,[15.47600166]
42899,[14.31290359]
42949,[13.98058986]
42999,[11.48823685]
43049,[16.14062913]
43099,[15.14368793]
43149,[15.8083154]
43199,[18.13451154]
43249,[12.65133492]
43299,[15.64215853]
43349,[15.64215853]
43399,[15.30984479]
43449,[19.13145274]
43499,[16.8052566]
43549,[15.47600166]
43599,[15.47600166]
43649,[14.31290359]
43699,[10.82360938]
43749,[15.97447226]
43799,[15.97447226]
43849,[15.8083154]
43899,[18.46682527]
43949,[10.98976625]
43999,[16.14062913]
44049,[16.8052566]
44099,[14.81137419]
44149,[18.46682527]
44199,[16.306786]
44249,[14.14674672]
44299,[15.30984479]
44349,[12.15286432]
44399,[12.48517805]
44449,[15.64215853]
44499,[16.97141347]
44549,[15.47600166]
44599,[18.46682527]
44649,[14.81137419]
44699,[16.306786]
44749,[15.64215853]
44799,[14.31290359]
44849,[18.79913901]
44899,[16.97141347]
44949,[15.30984479]
44999,[14.81137419]
45049,[13.48211926]
45099,[10.82360938]
45149,[15.64215853]
45199,[14.64521733]
45249,[16.97141347]
45299,[18.13451154]
45349,[15.47600166]
45399,[14.97753106]
45449,[15.64215853]
45499,[12.31902119]
45549,[20.60805861]
45599,[14.97753106]
45649,[15.14368793]
45699,[14.47906046]
45749,[11.82055058]
45799,[16.14062913]
45849,[16.97141347]
45899,[15.64215853]
45949,[16.306786]
45999,[19.62992334]
46049,[15.97447226]
46099,[15.97447226]
46149,[15.64215853]
46199,[14.97753106]
46249,[16.8052566]
46299,[15.14368793]
46349,[15.47600166]
46399,[14.97753106]
46449,[11.65439372]
46499,[16.47294286]
46549,[15.8083154]
46599,[16.47294286]
46649,[18.96529587]
46699,[12.31902119]
46749,[14.14674672]
46799,[16.47294286]
46849,[17.13757033]
46899,[18.46682527]
46949,[17.13757033]
46999,[15.30984479]
47049,[15.47600166]
47099,[15.14368793]
47149,[14.31290359]
47199,[15.97447226]
47249,[16.14062913]
47299,[15.47600166]
47349,[15.47600166]
47399,[11.48823685]
47449,[16.63909973]
47499,[16.47294286]
47549,[15.64215853]
47599,[16.97141347]
47649,[14.64521733]
47699,[16.47294286]
47749,[15.14368793]
47799,[14.97753106]
47849,[19.13145274]
47899,[15.47600166]
47949,[14.97753106]
47999,[14.97753106]
48049,[12.31902119]
48099,[13.31596239]
48149,[15.14368793]
48199,[16.8052566]
48249,[15.97447226]
48299,[18.79913901]
48349,[16.8052566]
48399,[15.8083154]
48449,[15.47600166]
48499,[14.31290359]
48549,[19.96223708]
48599,[15.8083154]
48649,[15.64215853]
48699,[14.81137419]
48749,[13.48211926]
48799,[14.14674672]
48849,[16.14062913]
48899,[15.97447226]
48949,[15.64215853]
48999,[14.47906046]
49049,[15.64215853]
49099,[16.306786]
49149,[15.8083154]
49199,[17.13757033]
49249,[19.62992334]
49299,[15.47600166]
49349,[16.63909973]
49399,[15.64215853]
49449,[11.82055058]
49499,[16.47294286]
49549,[14.81137419]
49599,[16.63909973]
49649,[15.8083154]
49699,[15.8083154]
49749,[15.47600166]
49799,[16.8052566]
49849,[16.8052566]
49899,[19.13145274]
49949,[18.3006684]
49999,[16.97141347]
50049,[15.97447226]
50099,[14.47906046]
50149,[17.46988407]
50199,[16.14062913]
50249,[15.64215853]
50299,[15.64215853]
50349,[14.64521733]
50399,[10.98976625]
50449,[14.97753106]
50499,[15.47600166]
50549,[16.8052566]
50599,[19.62992334]
50649,[11.82055058]
50699,[15.8083154]
50749,[15.47600166]
50799,[16.306786]
50849,[13.14980552]
50899,[16.47294286]
50949,[16.8052566]
50999,[15.97447226]
51049,[16.14062913]
51099,[10.82360938]
51149,[15.47600166]
51199,[16.14062913]
