timeLog,thermoLog
0,[16.47294286]
50,[16.47294286]
100,[15.30984479]
150,[13.14980552]
200,[15.64215853]
250,[15.64215853]
300,[16.14062913]
350,[16.63909973]
400,[16.97141347]
450,[16.14062913]
500,[16.14062913]
550,[16.14062913]
600,[15.47600166]
650,[20.93040293]
700,[15.14368793]
750,[16.14062913]
800,[15.64215853]
850,[10.98976625]
900,[18.13451154]
950,[15.8083154]
1000,[14.81137419]
1050,[16.14062913]
1100,[19.79608021]
1150,[16.14062913]
1200,[15.64215853]
1250,[15.14368793]
1300,[14.47906046]
1350,[21.25274725]
1400,[15.8083154]
1450,[16.14062913]
1500,[14.31290359]
1550,[13.81443299]
1600,[23.34798535]
1650,[16.47294286]
1700,[15.47600166]
1750,[15.97447226]
1800,[15.47600166]
1850,[14.47906046]
1900,[15.8083154]
1950,[16.306786]
2000,[15.8083154]
2050,[20.28571429]
2100,[15.8083154]
2150,[15.97447226]
2200,[16.306786]
2250,[13.48211926]
2300,[18.13451154]
2350,[15.47600166]
2400,[15.30984479]
2450,[16.63909973]
2500,[15.8083154]
2550,[12.15286432]
2600,[15.47600166]
2650,[15.64215853]
2700,[16.97141347]
2750,[19.62992334]
2800,[16.14062913]
2850,[15.30984479]
2900,[15.47600166]
2950,[13.81443299]
3000,[20.12454212]
3050,[14.97753106]
3100,[16.63909973]
3150,[15.47600166]
3200,[16.47294286]
3250,[11.65439372]
3300,[15.47600166]
3350,[14.81137419]
3400,[15.47600166]
3450,[18.46682527]
3500,[9.32819758]
3550,[17.3037272]
3600,[15.14368793]
3650,[16.47294286]
3700,[16.97141347]
3750,[16.306786]
3800,[16.63909973]
3850,[15.64215853]
3900,[16.97141347]
3950,[11.15592311]
4000,[15.30984479]
4050,[14.81137419]
4100,[17.3037272]
4150,[18.79913901]
4200,[10.32513878]
4250,[15.8083154]
4300,[15.14368793]
4350,[15.47600166]
4400,[18.63298214]
4450,[16.8052566]
4500,[15.14368793]
4550,[15.8083154]
4600,[15.47600166]
4650,[14.47906046]
4700,[16.14062913]
4750,[16.306786]
4800,[15.97447226]
4850,[17.96835467]
4900,[9.49435444]
4950,[17.13757033]
5000,[15.47600166]
5050,[15.47600166]
5100,[18.79913901]
5150,[12.31902119]
5200,[15.47600166]
5250,[14.97753106]
5300,[16.47294286]
5350,[10.82360938]
5400,[16.14062913]
5450,[16.14062913]
5500,[16.63909973]
5550,[17.63604094]
5600,[11.65439372]
5650,[14.97753106]
5700,[16.97141347]
5750,[16.306786]
5800,[18.13451154]
5850,[12.81749179]
5900,[16.306786]
5950,[16.14062913]
6000,[16.97141347]
6050,[17.8021978]
6100,[15.64215853]
6150,[15.64215853]
6200,[16.8052566]
6250,[15.14368793]
6300,[10.82360938]
6350,[15.47600166]
6400,[15.47600166]
6450,[16.97141347]
6500,[15.64215853]
6550,[10.15898191]
6600,[15.47600166]
6650,[16.14062913]
6700,[15.64215853]
6750,[15.64215853]
6800,[10.98976625]
6850,[16.306786]
6900,[15.30984479]
6950,[16.14062913]
7000,[13.48211926]
7050,[16.14062913]
7100,[16.47294286]
7150,[16.8052566]
7200,[18.13451154]
7250,[10.15898191]
7300,[15.97447226]
7350,[15.64215853]
7400,[17.63604094]
7450,[19.29760961]
7500,[10.32513878]
7550,[15.8083154]
7600,[16.14062913]
7650,[16.306786]
7700,[20.76923077]
7750,[15.97447226]
7800,[15.14368793]
7850,[14.81137419]
7900,[15.97447226]
7950,[17.46988407]
8000,[15.8083154]
8050,[15.64215853]
8100,[16.8052566]
8150,[16.97141347]
8200,[11.48823685]
8250,[16.306786]
8300,[16.8052566]
8350,[16.14062913]
8400,[18.46682527]
8450,[13.98058986]
8500,[16.47294286]
8550,[16.14062913]
8600,[16.306786]
8650,[18.3006684]
8700,[15.97447226]
8750,[16.47294286]
8800,[17.13757033]
8850,[14.97753106]
8900,[11.65439372]
8950,[14.97753106]
9000,[16.47294286]
9050,[15.97447226]
9100,[17.8021978]
9150,[15.97447226]
9200,[15.64215853]
9250,[16.306786]
9300,[16.97141347]
9350,[19.46376647]
9400,[15.47600166]
9450,[15.64215853]
9500,[15.47600166]
9550,[13.48211926]
9600,[22.05860806]
9650,[15.8083154]
9700,[15.30984479]
9750,[15.64215853]
9800,[13.81443299]
9850,[17.3037272]
9900,[15.47600166]
9950,[16.306786]
10000,[15.14368793]
10050,[16.306786]
10100,[15.14368793]
10150,[16.306786]
10200,[14.81137419]
10250,[14.64521733]
10300,[18.96529587]
10350,[15.97447226]
10400,[15.30984479]
10450,[14.97753106]
10500,[12.98364865]
10550,[17.46988407]
10600,[16.14062913]
10650,[15.30984479]
10700,[15.8083154]
10750,[15.14368793]
10800,[18.63298214]
10850,[15.47600166]
10900,[15.30984479]
10950,[16.63909973]
11000,[18.96529587]
11050,[15.47600166]
11100,[16.47294286]
11150,[15.64215853]
11200,[14.14674672]
11250,[20.12454212]
11300,[16.306786]
11350,[16.63909973]
11400,[16.63909973]
11450,[18.13451154]
11500,[16.97141347]
11550,[15.47600166]
11600,[16.14062913]
11650,[16.306786]
11700,[19.96223708]
11750,[9.99282504]
11800,[16.63909973]
11850,[15.47600166]
11900,[14.81137419]
11950,[15.47600166]
12000,[15.64215853]
12050,[16.306786]
12100,[16.14062913]
12150,[16.97141347]
12200,[15.14368793]
12250,[15.97447226]
12300,[15.47600166]
12350,[17.13757033]
12400,[19.46376647]
12450,[11.48823685]
12500,[15.97447226]
12550,[16.47294286]
12600,[17.3037272]
12650,[21.41391941]
12700,[16.306786]
12750,[15.97447226]
12800,[15.8083154]
12850,[15.97447226]
12900,[17.46988407]
12950,[14.97753106]
13000,[15.97447226]
13050,[15.64215853]
13100,[18.46682527]
13150,[17.13757033]
13200,[15.8083154]
13250,[15.64215853]
13300,[16.63909973]
13350,[18.63298214]
13400,[8.66357011]
13450,[15.64215853]
13500,[15.64215853]
13550,[15.64215853]
13600,[15.47600166]
13650,[15.30984479]
13700,[16.14062913]
13750,[16.14062913]
13800,[17.96835467]
13850,[15.97447226]
13900,[16.14062913]
13950,[15.8083154]
14000,[17.96835467]
14050,[19.13145274]
14100,[10.15898191]
14150,[15.64215853]
14200,[15.8083154]
14250,[16.306786]
14300,[20.28571429]
14350,[15.30984479]
14400,[14.97753106]
14450,[16.14062913]
