-260, -1.3,-0.786	
-240,-1.2,-0.774	
-220,-1.1,-0.751	
-200,-1,-0.719	
-180,-0.9,-0.677	
-160,-0.8,-0.627	
-140,-0.7,-0.569	
-120,-0.6,-0.504	
-100,-0.5,-0.432	
-80,-0.4,-0.355	
-60,-0.3,-0.272	
-40,-0.2,-0.184	
-20,-0.1,-0.093	
0,0,0.003	
20,0.1,0.100	
25,0.125,0.125	
40,0.2,0.200	
60,0.3,0.301	
80,0.4,0.402	
100,0.5,0.504	
120,0.6,0.605	
140,0.7,0.705	
160,0.8,0.803	
180,0.9,0.901	
200,1,0.999	
